"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"CRYGD",0,NA,NA,NA,NA,NA
"H3-4.1",0,NA,NA,NA,NA,NA
"POLR2J3.1",1788.66685086474,0.316778687089866,0.0974259770605683,3.25148073078014,0.00114805557463345,0.00418841209099964
"SOX7.1",1.41329462620425,3.8704012345017,2.97422571324567,1.30131389062536,0.193151034494195,NA
"DEFA11P",0,NA,NA,NA,NA,NA
".5408",0,NA,NA,NA,NA,NA
"FBXL6",1263.69923529465,-0.300400057914888,0.114236143250492,-2.62964110453365,0.0085475051716602,0.0251334119779033
"ZYX",4168.79602460909,0.0790281936697962,0.0626488759367145,1.26144631468931,0.207148090614246,0.353358030962851
".5409",6.08268430964999,-0.149013760742826,1.14879759110962,-0.129712807457138,0.896793649295269,0.942765186407725
"TUSC2P2",0,NA,NA,NA,NA,NA
".5410",0.722221169275123,-3.04234334308342,3.97100921253652,-0.766138575926418,0.443593851863346,NA
"H2BC26",47.2685200177754,0.125691707313745,0.395722754453865,0.317625675802272,0.750768895495137,0.855414154834816
"ADCK5",234.228144339261,-1.01200846184902,0.287268128787728,-3.52287065787527,0.00042689964137358,0.00169515616745157
"LTB4R",719.814187004605,0.289740845943631,0.120165280094837,2.41118604071793,0.0159007352649494,0.0431724737033038
"C4orf36.1",459.850328895651,0.145714980377772,0.132390372551492,1.10064635040662,0.271050604315265,0.431730503066956
"OOSP4B",0.154723207781945,0.817476493946865,4.0804728567969,0.200338667266266,0.841215723376499,NA
"TM9SF1",2181.28386078036,0.807787323302895,0.0732027978758601,11.0349241660513,2.59270133716852e-28,7.71010592229049e-27
".5411",0,NA,NA,NA,NA,NA
"OR7E161P.1",0,NA,NA,NA,NA,NA
"TUSC2P1",0,NA,NA,NA,NA,NA
".5412",0,NA,NA,NA,NA,NA
"OR4M2-OT1",0,NA,NA,NA,NA,NA
"OR7E125P.1",0,NA,NA,NA,NA,NA
"DEFA10P.1",0,NA,NA,NA,NA,NA
"CACNA1C.1",1.01049842992061,0.881768697656189,3.07693175935919,0.286574018086065,0.774438510919709,NA
"H2BK1",1.9897404678747,0.872214770782322,1.91888437215001,0.454542641256206,0.649438308095359,0.785322572228975
"DGAT1",834.053792375707,-0.463678660682796,0.128510898143993,-3.6080882429384,0.000308461583919366,0.00125549150935221
"NFATC4",60.6088295996352,-4.33926627010063,0.683159902206306,-6.35175784774063,2.12868232586126e-10,1.9214993259893e-09
".5413",0,NA,NA,NA,NA,NA
"OR1Q1BP",0,NA,NA,NA,NA,NA
"NRL.1",29.7281666526397,1.04084495774432,0.504478288389231,2.06321061123893,0.0390926224063236,0.0931344501546885
".5414",0,NA,NA,NA,NA,NA
"PAICSP5",0,NA,NA,NA,NA,NA
"OR2A25.1",0,NA,NA,NA,NA,NA
".5415",0.464169623345836,2.26645902264782,3.99651310670712,0.567109117906845,0.570640048508498,NA
"AGBL2",17.7251696584825,0.848267390183519,0.693680032116931,1.22285109980004,0.221385940976678,0.370935928902803
".5416",15.031376265973,1.37280082357793,0.718358136405296,1.91102564863747,0.0560012848806447,0.125474576973143
".5417",0,NA,NA,NA,NA,NA
"HSPD1P3.2",0,NA,NA,NA,NA,NA
".5418",25.3936474769015,8.03681619212572,3.9084227416405,2.05628119663237,0.0397554196696406,0.0944574152621244
".5419",40.5974836629473,-0.45379962540535,2.59728719098514,-0.174720618875122,0.861299165466359,0.92390947467476
"TBCEL-TECTA",23.4388823824454,-0.304052892570541,0.636106480033113,-0.477990559936936,0.632656923986441,0.771983422013911
"NAALAD2",37.3292789173165,-8.73420984850708,1.26082282598067,-6.92738874053424,4.28679436711063e-12,4.50600544270152e-11
".5420",0,NA,NA,NA,NA,NA
".5421",0.320055630545131,1.72516358033419,4.0367139735957,0.427368297981613,0.669111094202377,NA
".5422",1.04710570163205,-3.58172966080662,2.88461503149404,-1.24166643441206,0.214359659126119,NA
".5423",16.5720041275674,0.669047797111298,0.642223750619618,1.04176744703976,0.29751951001198,0.462980820653493
"OR7E11P",0.35231118893851,-2.00877443159339,4.03717772184741,-0.497568987543649,0.618787866897305,NA
".5424",1.57137817571684,-4.16727587436945,2.54335895871532,-1.638493009447,0.101318891126012,NA
".5425",3.96188884227121,-2.91298400901423,1.98284295501738,-1.46909466614249,0.141807114293527,0.263341085556713
".5426",0,NA,NA,NA,NA,NA
".5427",0,NA,NA,NA,NA,NA
".5428",1.12652632783709,3.54141181027282,3.79411816327265,0.933395233852743,0.350615940324464,NA
".5429",864.450824891504,-0.764242958224391,0.127171156816295,-6.00956205288262,1.86025153114305e-09,1.55020960928588e-08
".5430",0,NA,NA,NA,NA,NA
"FAM90A9",0,NA,NA,NA,NA,NA
"5S_rRNA.1",0,NA,NA,NA,NA,NA
".5431",1.28931845056427,1.43511838807586,2.49009327190561,0.576331177738416,0.564391353020769,NA
"5S_rRNA.2",0,NA,NA,NA,NA,NA
".5432",3.18888001782161,-0.590171916900273,1.60525923979826,-0.367648976731287,0.713134990440477,0.829624688081688
".5433",5.26791742150535,0.220009088258174,1.34493529756525,0.163583399630048,0.870059113829334,0.929328518185469
".5434",109.506503897732,0.0425647759361306,0.363216101261042,0.117188571179391,0.906710623392312,0.948255828986604
".5435",0,NA,NA,NA,NA,NA
".5436",0,NA,NA,NA,NA,NA
"TOP1P1",0.875403092789645,-2.06294903297739,3.18526359736081,-0.647654101433447,0.517208696905264,NA
"5S_rRNA.3",0,NA,NA,NA,NA,NA
".5437",0,NA,NA,NA,NA,NA
"FAM90A22",0,NA,NA,NA,NA,NA
".5438",0,NA,NA,NA,NA,NA
".5439",0,NA,NA,NA,NA,NA
".5440",0.978295707627369,2.11692121085498,3.53686811675288,0.598529869074813,0.549486434977547,NA
