"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"CROT",271.604664689549,0.37918285500414,0.181255146740767,2.0919839343732,0.0364399528676218,0.0878748863403476
"ABCB4",1.57542870236504,0.777626143348489,2.62199265570429,0.296578307211014,0.766788474444111,NA
"KMT2E",793.511315146931,0.252100422033583,0.118030167409354,2.13589819930733,0.0326877124144495,0.0803253000117379
"RHBDD2",422.595079912521,0.96208141376555,0.198728232309012,4.84119142301615,1.29062970887556e-06,7.6579396129264e-06
"SOX8",0,NA,NA,NA,NA,NA
"ZNF195",1272.66003820351,0.572456400857206,0.0901139240847271,6.35258542640947,2.11725774398751e-10,1.91493859125875e-09
"MYCBP2",6238.35595649122,-0.095318076329353,0.125927733471928,-0.756926800009477,0.449093718264444,0.616964128703009
"FBXL3",1885.43832360448,0.0434638034350051,0.078571967588267,0.553171885204202,0.580145716707419,0.731057644735993
"ITGAL",26.4363026882067,0.833050988747663,0.536317129103786,1.55328059377804,0.120356114397318,0.231150553003264
"PDK2",508.032243696526,-0.28221588380441,0.158698455841902,-1.77831524766415,0.0753520934746952,0.160270246014494
"ITGA3",18366.7363204144,0.510169111678408,0.0831900632426974,6.13257271111874,8.6469166219005e-10,7.42764221065011e-09
"ZFX",1998.68930459949,-0.237147670252446,0.107855883284469,-2.19874579884502,0.0278960024322295,0.0701390905216643
"LAMP2",3669.74675016521,0.41235149786069,0.0734343030865364,5.61524356505116,1.9628555673291e-08,1.45557749349405e-07
"ITGA2B",11.5917380116544,1.27762265768197,1.11941214877133,1.14133356430363,0.253731139726935,0.411571921059524
"ASB4",2.1469030244777,4.48209571667706,2.21421131562047,2.02424027239744,0.0429454357479658,0.100751923881131
"GDE1",2254.87915593621,0.136267002604115,0.0868024863106873,1.5698513763348,0.116449691872207,0.225198430309644
